瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),嚼档(%),刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),秦搁扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),矫沥(10m)
192,柳林,2016-02-01 00:00,.5,,1.3,44,2.8,-10.3,1024.4,1028.3,,,,2000
192,柳林,2016-02-01 01:00,-.4,,.5,49,2.9,-9.8,1024.3,1028.2,,,,2000
192,柳林,2016-02-01 02:00,-1.7,,0,61,3.3,-8.2,1023.9,1027.8,,,,2000
192,柳林,2016-02-01 03:00,-2.1,,.4,65,3.4,-7.8,1023.7,1027.6,,,,2000
192,柳林,2016-02-01 04:00,-2.5,,.4,66,3.4,-7.9,1023.2,1027.1,,,,2000
192,柳林,2016-02-01 05:00,-3.1,,.2,68,3.3,-8.1,1023.4,1027.3,,,,2000
192,柳林,2016-02-01 06:00,-3.3,,.1,70,3.4,-7.9,1023.1,1027,,,,1600
192,柳林,2016-02-01 07:00,-3.8,,.1,74,3.4,-7.7,1023.9,1027.8,,,,1500
192,柳林,2016-02-01 08:00,-3.7,,.1,72,3.3,-8,1024.1,1028,0,.02,,1000
192,柳林,2016-02-01 09:00,-1.3,,1.4,46,2.6,-11.4,1025.1,1029,.8,.26,,2000
192,柳林,2016-02-01 10:00,.3,,1.3,35,2.2,-13.4,1024.5,1028.4,1,.73,,1900
192,柳林,2016-02-01 11:00,1.8,,1.3,27,1.9,-15.2,1024.3,1028.1,1,1.16,,2000
192,柳林,2016-02-01 12:00,3,,1.9,24,1.8,-15.6,1023,1026.8,1,1.45,,2000
192,柳林,2016-02-01 13:00,4.2,,1.9,22,1.8,-15.6,1021.9,1025.7,1,1.57,,2000
192,柳林,2016-02-01 14:00,4.6,,2.6,20,1.7,-16.4,1021.1,1024.9,1,1.52,,2000
192,柳林,2016-02-01 15:00,4.2,,3.5,20,1.6,-16.8,1020.8,1024.6,1,1.32,,2000
192,柳林,2016-02-01 16:00,3.7,,3.9,22,1.7,-16.1,1021.4,1025.2,1,.96,,2000
192,柳林,2016-02-01 17:00,3,,2.2,25,1.9,-15.1,1021.1,1024.9,1,.51,,2000
192,柳林,2016-02-01 18:00,.9,,1.5,31,2,-14.3,1021.3,1025.1,.3,.06,,2000
192,柳林,2016-02-01 19:00,-.7,,1,39,2.3,-12.9,1022.3,1026.2,,,,2000
192,柳林,2016-02-01 20:00,-1.2,,1.7,41,2.3,-12.8,1023.3,1027.2,,,,2000
192,柳林,2016-02-01 21:00,-2,,.8,43,2.3,-12.9,1023.8,1027.7,,,,2000
192,柳林,2016-02-01 22:00,-2.8,,.3,48,2.4,-12.3,1023.6,1027.5,,,,2000
192,柳林,2016-02-01 23:00,-2.9,,1.9,47,2.3,-12.6,1023.3,1027.2,,,,2000
192,柳林,2016-02-02 00:00,-4.1,,.3,52,2.3,-12.5,1023.9,1027.8,,,,2000
192,柳林,2016-02-02 01:00,-4.9,,.7,57,2.4,-12.1,1024,1027.9,,,,2000
192,柳林,2016-02-02 02:00,-5.9,,.8,61,2.4,-12.2,1023.5,1027.4,,,,2000
192,柳林,2016-02-02 03:00,-6.6,,.1,66,2.5,-11.9,1023.4,1027.4,,,,2000
192,柳林,2016-02-02 04:00,-7.4,,.8,70,2.5,-11.9,1023.3,1027.3,,,,2000
192,柳林,2016-02-02 05:00,-8.3,,.3,73,2.4,-12.2,1023.1,1027.1,,,,1900
192,柳林,2016-02-02 06:00,-8.4,,.6,77,2.5,-11.7,1023.2,1027.2,,,,1400
192,柳林,2016-02-02 07:00,-8.8,,.1,78,2.5,-11.9,1023.6,1027.6,,,,1800
192,柳林,2016-02-02 08:00,-8.4,,.3,80,2.6,-11.2,1024.3,1028.3,.1,.03,,1400
192,柳林,2016-02-02 09:00,-3.9,,2,46,2.1,-13.8,1024.6,1028.5,1,.57,,2000
192,柳林,2016-02-02 10:00,-2.2,,1.8,38,2,-14.6,1024.6,1028.5,1,.94,,1900
192,柳林,2016-02-02 11:00,.3,,1.1,29,1.8,-15.7,1023.9,1027.8,1,1.22,,2000
192,柳林,2016-02-02 12:00,1.7,,1.6,24,1.7,-16.7,1022.8,1026.6,1,1.47,,2000
192,柳林,2016-02-02 13:00,3.7,,1.6,18,1.4,-18.4,1021.8,1025.6,1,1.6,,2000
192,柳林,2016-02-02 14:00,4.4,,1.7,15,1.3,-20,1021,1024.8,1,1.57,,2000
192,柳林,2016-02-02 15:00,5.5,,1.4,14,1.3,-19.9,1020.8,1024.6,1,1.35,,2000
192,柳林,2016-02-02 16:00,5.8,,1.4,14,1.3,-19.7,1020.8,1024.6,1,1,,2000
192,柳林,2016-02-02 17:00,5.2,,.9,19,1.7,-16.6,1020.9,1024.7,1,.56,,2000
192,柳林,2016-02-02 18:00,2.4,,1.3,28,2,-14.2,1021.6,1025.4,.4,.09,,2000
192,柳林,2016-02-02 19:00,-.7,,0,40,2.3,-12.6,1022,1025.9,,,,2000
192,柳林,2016-02-02 20:00,-2.4,,.1,51,2.6,-11.1,1022.1,1026,,,,2000
192,柳林,2016-02-02 21:00,-3.2,,0,55,2.7,-10.9,1022.7,1026.6,,,,2000
192,柳林,2016-02-02 22:00,-4.2,,.2,61,2.7,-10.6,1023,1026.9,,,,2000
192,柳林,2016-02-02 23:00,-5.3,,0,66,2.7,-10.6,1023.1,1027,,,,2000
192,柳林,2016-02-03 00:00,-5.7,,.1,70,2.8,-10.3,1023.3,1027.2,,,,1900
192,柳林,2016-02-03 01:00,-6.3,,.1,72,2.8,-10.5,1023.3,1027.3,,,,1900
192,柳林,2016-02-03 02:00,-7,,0,75,2.7,-10.6,1023.3,1027.3,,,,1800
192,柳林,2016-02-03 03:00,-7.5,,.5,77,2.7,-10.8,1023.4,1027.4,,,,1500
192,柳林,2016-02-03 04:00,-7.9,,.1,79,2.7,-10.9,1023.4,1027.4,,,,1400
192,柳林,2016-02-03 05:00,-8.5,,.1,80,2.6,-11.3,1023.7,1027.7,,,,1000
192,柳林,2016-02-03 06:00,-8.7,,.1,81,2.6,-11.3,1024.1,1028.1,,,,1000
192,柳林,2016-02-03 07:00,-9.1,,0,81,2.5,-11.7,1024.7,1028.7,,,,900
192,柳林,2016-02-03 08:00,-8.5,,.1,82,2.6,-11,1025,1029,.1,.04,,800
192,柳林,2016-02-03 09:00,-3,,.6,68,3.3,-8,1025.4,1029.3,1,.48,,1100
192,柳林,2016-02-03 10:00,-1.5,,.5,44,2.4,-12.1,1025.2,1029.1,1,.92,,1900
192,柳林,2016-02-03 11:00,1.3,,1.8,34,2.3,-12.8,1024.6,1028.4,1,1.41,,1900
192,柳林,2016-02-03 12:00,3.2,,1.5,31,2.4,-12.3,1023.5,1027.3,1,1.46,,1900
192,柳林,2016-02-03 13:00,4.8,,1.2,27,2.3,-12.6,1022.2,1026,1,1.57,,2000
192,柳林,2016-02-03 14:00,5.9,,1.9,24,2.2,-13.1,1021.5,1025.3,1,1.53,,2000
192,柳林,2016-02-03 15:00,6.8,,1.9,22,2.2,-13.4,1021.1,1024.8,1,1.33,,2000
192,柳林,2016-02-03 16:00,7.7,,1.2,21,2.2,-13.3,1021.3,1025,1,.97,,2000
192,柳林,2016-02-03 17:00,5.8,,1.6,26,2.4,-12.2,1022,1025.8,1,.53,,2000
192,柳林,2016-02-03 18:00,3,,.4,39,3,-9.6,1022.3,1026.1,.4,.08,,2000
192,柳林,2016-02-03 19:00,.3,,.3,50,3.1,-8.9,1023,1026.9,,,,1900
192,柳林,2016-02-03 20:00,-1.5,,.5,61,3.3,-8,1023.7,1027.6,,,,1400
192,柳林,2016-02-03 21:00,-2.3,,.2,64,3.3,-8.1,1023.2,1027.1,,,,1600
192,柳林,2016-02-03 22:00,-3.4,,.1,69,3.3,-8.2,1023,1026.9,,,,1400
192,柳林,2016-02-03 23:00,-4.5,,.4,71,3.1,-8.9,1023.6,1027.5,,,,1500
192,柳林,2016-02-04 00:00,-4.8,,.1,75,3.2,-8.5,1024.2,1028.1,,,,1400
192,柳林,2016-02-04 01:00,-5.3,,.1,77,3.2,-8.7,1023.8,1027.7,,,,1300
